shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,mads:entityDescriptor,Other Designation Associated with Conference (RDA 11.7) CORE IF ...,false,true,literal,,,,,,,,,
,,,mads:associatedLanguage,Language of Conference (RDA 11.8),false,true,bnode,,lc:RT:bf2:Agents:RWO:AssociatedLanguage,,,,,,,
,,,mads:fieldOfActivity,Field of Activity of Conference (RDA 11.10),false,true,bnode,,lc:RT:bf2:Agents:RWO:FieldofActivity,,,,,,,
,,,mads:note,Conference History (RDA 11.11),false,true,bnode,,lc:RT:bf2:Agent:Note,,,,,,,
,,,mads:hasIdentifier,Identifier for the Conference (RDA 11.12) CORE ELEMENT,false,true,bnode,,lc:RT:bf2:Agent:Identifier,,,,,,,
,,,mads:authoritativeLabel,Authorized Access Point for the Conference (RDA 11.13.1),false,true,literal,,,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing a Conference (RDA 11.13.2),false,true,bnode,,lc:RT:bf2:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),false,true,bnode,,lc:RT:bf2:Agents:RelatedAgents,,,,,,,
,,,mads:hasSource,Source Consulted (RDA 8.12),false,true,bnode,,lc:RT:bf2:Agents:Source,,,,,,,
lc:RT:bf2:Agent:CorporateBody,Create corporate body name,bf:Organization,rdfs:label,Preferred Name for Corporate Body (RDA 11.2.2) CORE ELEMENT,false,true,literal,,,,,,,,,
,,,mads:associatedLocale,Place Associated with Corporate Body (RDA 11.3),false,true,bnode,,lc:RT:bf2:Agents:RWO:OtherPlace,,,,,,,
,,,mads:establishDate,Date Associated with Corporate Body (RDA 11.4) CORE ELEMENT,false,true,bnode,,lc:RT:bf2:Agents:RWO:Dates,,,,,,,
,,,mads:organization,Associated Institution (RDA 11.5),false,true,bnode,,lc:RT:bf2:Agents:RWO:Affiliation,,,,,,,
,,,mads:entityDescriptor,Other Designation Associated with Corporate Body (RDA 11.7),false,true,literal,,,,,,,,,
,,,mads:associatedLanguage,Language of Corporate Body (RDA 11.8),false,true,bnode,,lc:RT:bf2:Agents:RWO:AssociatedLanguage,,,,,,,
,,,mads:hasAffiliationAddress,Address of Corporate Body (RDA 11.9),false,true,bnode,,lc:RT:bf2:Agents:Addresses | lc:RT:bf2:Agents:Addresses:Extended,,,,,,,
,,,mads:fieldOfActivity,Field of Activity of Corporate Body (RDA 11.10),false,true,bnode,,lc:RT:bf2:Agents:RWO:FieldofActivity,,,,,,,
,,,mads:note,Corporate History (RDA 11.11),false,true,bnode,,lc:RT:bf2:Agent:Note,,,,,,,
,,,mads:hasIdentifier,Identifier for the Corporate Body (RDA 11.12) CORE ELEMENT,false,true,bnode,,lc:RT:bf2:Agent:Identifier,,,,,,,
,,,mads:authoritativeLabel,Authorized Access Point for the Corporate Body (RDA 11.13.1),false,true,literal,,,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing a Corporate Body (RDA 11.13.2),false,true,bnode,,lc:RT:bf2:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),false,true,bnode,,lc:RT:bf2:Agents:RelatedAgents,,,,,,,
,,,mads:hasSource,Source Consulted (RDA 8.12),false,true,bnode,,lc:RT:bf2:Agents:Source,,,,,,,
lc:RT:bf2:Agent:Family,Create family name,bf:Family,rdfs:label,Preferred Name for Family (RDA 10.2.2) CORE ELEMENT,false,true,literal,,,,,,,,,
,,,mads:FamilyNameElement,Type of Family (RDA 10.3) CORE ELEMENT,false,true,literal,,,,,,,,,
,,,mads:DateNameElement,Date Associated with Family (RDA 10.4),false,true,bnode,,lc:RT:bf2:Agents:RWO:Dates,,,,,,,
,,,mads:associatedLocale,Place Associated with Family (RDA 10.5),false,true,bnode,,lc:RT:bf2:Agents:RWO:OtherPlace,,,,,,,http://access.rdatoolkit.org/rdachp10_rda10-516.html
,,,mads:prominentFamilyMember,Prominent Member of Family (RDA 10.6),false,true,,,,,,,,,,http://access.rdatoolkit.org/rdachp10_rda10-549.html
,,,mads:honoraryTitle,Hereditary Title (RDA 10.7),false,true,literal,,,,,,,,,
,,,mads:associatedLanguage,Language of Family (RDA 10.8),false,true,bnode,,lc:RT:bf2:Agents:RWO:AssociatedLanguage,,,,,,,
,,,mads:note,Family History (RDA 10.9),false,true,bnode,,lc:RT:bf2:Agent:Note,,,,,,,
,,,mads:hasIdentifier,Identifier for Family (RDA 10.10),false,true,bnode,,lc:RT:bf2:Agent:Identifier,,,,,,,
,,,mads:authoritativeLabel,Authorized Access Point Representing the Family (RDA 10.11.1),false,true,bnode,,lc:RT:bf2:Agents:RWO:IdentifiedbyAuthority,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing the Family (RDA 10.11.2),false,true,bnode,,lc:RT:bf2:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),false,true,bnode,,lc:RT:bf2:Agents:RelatedAgents,,,,,,,
